TASK,category,,
"Optimisation of Service Alerts, Netbackup Baremetal, Remote Registry , Discovery Framework",automatable,,
Permissions to owners for adding/removing members in a Distribution List,automatable,,
Pulling AD account information,automatable,,
Create a New Single Distribution Group,automatable,,
Update Secondary Owner ,automatable,,
Modis DL Audit,automatable,,
Login script ,automatable,,
Logon script for agents,automatable,,
AD  - logon,automatable,,
Reports ( Ageing/ SLA/ MTTR),automatable,,
Quick Fixes - System temps,automatable,,
Quick Fixes - User Temps,automatable,,
Profile issue in Outlook,automatable,,
C Drive Space Issue,automatable,,
New Outlook Profile Setup,automatable,,
Rebuild OST,automatable,,
Clearing Cache of JAVA,automatable,,
Create New Profile-Outlook,automatable,,
Windows 7- Disk Full/Disk� Free Space Troubleshooting,automatable,,
Windows Performance Issue,automatable,,
Internet Troubleshooting,automatable,,
Unable to configure new email account,automatable,,
Unable to sign in lync,automatable,,
Outlook : Disconnected,automatable,,
inbox keeps updating,automatable,,
Internet explorer history delete,automatable,,
VPN ( connection issue / termination issue / RSA disable-next code),automatable,,
Proxy Disable,automatable,,
Skype Issues (Meeting Issue/Video Issue/Launch Issue/Password Sync Issue),automatable,,
Symantec Issues (WDRT issue),automatable,,
Software Installation Request,automatable,,
Daily Reporting,automatable,,
Daily Team performance reports (Shared with team),automatable,,
VPN Login and Installation,automatable,,
Printer Management,automatable,,
Installation of Adobe Flash player,automatable,,
Installation of Adobe Reader,automatable,,
Internet Exceptions-Proxy,automatable,,
Enabling Add-in for Outlook,automatable,,
Upgradation of JAVA to newer version,automatable,,
Skype For Business Installation for Mobile Clients,automatable,,
System Slowness,automatable,,
Installation of JAVA,automatable,,
frequent disconnect after successfully login,automatable,,
Outlook 2013 Crashes when Printing,automatable,,
Outlook Addins,automatable,,
Clear IE & system cache specifically targeting stored passwords. This will help resolve many of the account lock outs due to multiple-failed attempts by the system to login to the application because a stored password is incorrect.,automatable,,
"Rebuild OST, Create new profile, Repair corrupt file, outlook disconnect, Profile rebuild, Outlook addins",automatable,,
Unable to sign in lync,automatable,,
internet explorer history delete,automatable,,
Repair outlook,automatable,,
lync issue,automatable,,
Bulk termination,automatable,,
MPS issues ,automatable,,
Finding out product and serial number,automatable,,
RIK issues,automatable,,
SQL Patching Automation,automatable,,
Tablespace Automation,automatable,,
Password rotation,automatable,,
Dataguard health check report after password rotation,automatable,,
Listener Up/Down,automatable,,
Agent up/down,automatable,,
Capacity analysis and reporting,automatable,,
Re-initiate Backup on Backup Failure alert,automatable,,
Re-initiate runstates on runstats failure alert,automatable,,
Re-initiate if reorg failure alert,automatable,,
DB refresh,automatable,,
VNX health check,automatable,,
Stack Ranking Portal,automatable,,
Rv tool Batch,automatable,,
Capturing inventory from vmware,automatable,,
HyperV Health Checkup,automatable,,
Reports ( Ageing/ SLA/ MTTR),automatable,,
Adding user to Shared Folder,automatable,,
AS400 account creation,automatable,,
Assign user to security group ,automatable,,
AD group Access,automatable,,
Automatch Request,automatable,,
Tableau User Access,automatable,,
MAC Admin Developer,automatable,,
Unix CPU Usage,automatable,,
Unix Memory Usage,automatable,,
Capture Uptime of all HP3PAR storage devices and save it as screenshot in an excel sheet. ,automatable,,
Daily health check status of HP3PAR arrays and email user/group,automatable,,
Report free space available per disk type on all HP 3PAR arrays and email user/group ,automatable,,
Find Orphan/Idle servers on HP3PAR arrays,automatable,,
Health check status and email user/group,automatable,,
Capture uptime of all Brocade switches and save it as screenshot in an excel sheet,automatable,,
Daily health checks status of Brocade switches and email user/group,automatable,,
Check Brocade switch port utilization,automatable,,
Brocade switch port link failure,automatable,,
List available free ports on Brocade switches,automatable,,
Save the switch config information,automatable,,
Unix disk space,automatable,,
Incident report of Super VIP users,automatable,,
CSAT/DSAT Request Survey report from SNOW,automatable,,
Monthly Request CSAT/DSAT report,automatable,,
Create Outlook calender entries for the servers scduled to patch,automatable,,
Send patching infromation emails to servers owners ,automatable,,
Automate the patching of ESXi servers with the help of vSphere update manager,automatable,,
Perform the ESXi hardening on multiple servers,automatable,,
Server health report from vCenter,automatable,,
Check and start Windows Update service,automatable,,
Ticket Creation for services,automatable,,
Ticket creation for event or resource,automatable,,
Client installation/remotely/based on platform,automatable,,
RVtools Report Generation,automatable,,
Weekly Report on Email alerts,automatable,,
Monthly Report on Email alerts,automatable,,
Next 24 Hours Change Report,automatable,,
Report for HCL Changes requiring Post Validation/Updates,automatable,,
ESX Host Health Status Report,automatable,,
RU Count for Lync User accounts,automatable,,
IDM for unix development servers,automatable,,
Patching Report Script,automatable,,
Script to check the file systems is mounted or not,automatable,,
Shell script to mount a filesystem and also to find the total usage of that particular filesystem,automatable,,
Check for inappropriate Failed exchange account and send email to user,automatable,,
monitor DISK i/o statistics in Linux,automatable,,
Shell script to get the percentage of memory and cpu that has been utilized per process,automatable,,
Displays the total memory and swap utilization,automatable,,
Display the multiple paths for i/o files,automatable,,
Automation of Machine Catalogue report,automatable,,
Enabling SCOM Monitor/Rule ,automatable,,
SP 2013 failover and reboot process (Non-Prod),automatable,,
SCOM Performance report,automatable,,
Disabling SCOM Monitor/Rule ,automatable,,
Resolve Alerts for a Monitor and rule,automatable,,
SP 2013 failover and reboot process (Prod),automatable,,
Monitor and restart of monitoring tools services via MS SCORCH,automatable,,
WSPROD thread monitoring (lmc servers),automatable,,
Drive free space Management for  sever ,automatable,,
Drive free space Management for  sever ,automatable,,
Service restart,automatable,,
Service restart,automatable,,
WSPROD thread monitoring weekly data capture and cleanup(lmc servers),automatable,,
